Airline,Source,Source Name,Destination,Destination Name,Departure Date & Time,Arrival Date & Time,Duration (hrs),Stopovers,Aircraft Type,Class,Booking Source,Base Fare (BDT),Tax & Surcharge (BDT),Total Fare (BDT),Seasonality,Days Before Departure
FlyDubai,JSR,Jessore Airport,KUL,Kuala Lumpur International Airport,2025-04-04,2025-04-04,2.738046176,Direct,Boeing 737,Business,Direct Booking,126326.0882,24948.91322,151275.0014,Regular,59
Etihad Airways,ZYL,"Osmani International Airport, Sylhet",KUL,Kuala Lumpur International Airport,2026-03-21,2026-03-21,2.73921612,Direct,Boeing 737,First Class,Travel Agency,216381.9093,38457.2864,254839.1958,Regular,87
Thai Airways,RJH,"Shah Makhdum Airport, Rajshahi",YYZ,Toronto Pearson International Airport,2025-12-13,2025-12-13,14.87196479,1 Stop,Boeing 777,Business,Direct Booking,26192.7341,9928.910115,36121.64422,Winter Holidays,57
Qatar Airways,CGP,"Shah Amanat International Airport, Chittagong",JSR,Jessore Airport,2025-10-20,2025-10-20,1.065027312,Direct,Airbus A320,Economy,Online Website,2625.526161,200,2825.526161,Regular,81
Cathay Pacific,JSR,Jessore Airport,JED,"King Abdulaziz International Airport, Jeddah",2025-04-23,2025-04-23,5.319722021,2 Stops,Airbus A350,Business,Direct Booking,45828.54623,10874.28193,56702.82816,Regular,28
US-Bangla Airlines,CXB,Cox's Bazar Airport,RJH,"Shah Makhdum Airport, Rajshahi",2025-03-24,2025-03-25,1.747559915,Direct,Airbus A320,Business,Travel Agency,5857.700623,200,6057.700623,Regular,21
Thai Airways,CGP,"Shah Amanat International Airport, Chittagong",ZYL,"Osmani International Airport, Sylhet",2025-09-16,2025-09-16,1.086079081,Direct,Airbus A320,First Class,Travel Agency,9469.685427,200,9669.685427,Regular,37
Lufthansa,BZL,Barisal Airport,LHR,London Heathrow Airport,2025-05-05,2025-05-05,8.242667406,1 Stop,Boeing 777,Business,Online Website,47251.16918,13087.67538,60338.84456,Regular,66
IndiGo,JSR,Jessore Airport,JED,"King Abdulaziz International Airport, Jeddah",2025-06-13,2025-06-14,5.599163895,1 Stop,Airbus A350,First Class,Travel Agency,269220.903,44383.13545,313604.0384,Regular,23
Singapore Airlines,SPD,Saidpur Airport,IST,Istanbul Airport,2025-02-17,2025-02-17,6.316175556,1 Stop,Airbus A350,Economy,Direct Booking,58383.58902,12757.53835,71141.12738,Regular,40
Kuwait Airways,JSR,Jessore Airport,JED,"King Abdulaziz International Airport, Jeddah",2025-12-03,2025-12-03,6.046574616,1 Stop,Boeing 777,Economy,Direct Booking,63356.39195,13503.45879,76859.85074,Winter Holidays,46
Emirates,CGP,"Shah Amanat International Airport, Chittagong",DOH,"Hamad International Airport, Doha",2025-10-05,2025-10-05,4.269713743,Direct,Boeing 787,First Class,Direct Booking,208492.7455,35273.91183,243766.6574,Regular,72
Emirates,ZYL,"Osmani International Airport, Sylhet",CXB,Cox's Bazar Airport,2025-01-31,2025-01-31,1.211152742,Direct,Airbus A320,First Class,Travel Agency,14607.19954,200,14807.19954,Regular,11
US-Bangla Airlines,CGP,"Shah Amanat International Airport, Chittagong",LHR,London Heathrow Airport,2025-08-08,2025-08-08,8.40801384,2 Stops,Boeing 777,Economy,Online Website,61611.62501,15241.74375,76853.36876,Regular,40
Air Astra,DAC,"Hazrat Shahjalal International Airport, Dhaka",CXB,Cox's Bazar Airport,2025-09-12,2025-09-12,1.070627895,Direct,Airbus A320,Business,Travel Agency,5323.799118,200,5523.799118,Regular,19
IndiGo,JSR,Jessore Airport,KUL,Kuala Lumpur International Airport,2025-10-20,2025-10-20,3.154720393,1 Stop,Boeing 737,First Class,Online Website,57864.24358,14679.63654,72543.88011,Regular,78
Air India,CXB,Cox's Bazar Airport,IST,Istanbul Airport,2025-02-09,2025-02-10,6.676211063,1 Stop,Boeing 777,Economy,Travel Agency,9845.691441,5476.853716,15322.54516,Regular,17
IndiGo,RJH,"Shah Makhdum Airport, Rajshahi",SPD,Saidpur Airport,2025-02-10,2025-02-10,0.519747411,Direct,Airbus A320,First Class,Direct Booking,9890.861356,200,10090.86136,Regular,38
Vistara,JSR,Jessore Airport,BZL,Barisal Airport,2026-02-14,2026-02-14,0.5,Direct,Airbus A320,Business,Travel Agency,7317.837408,200,7517.837408,Winter Holidays,58
Emirates,DAC,"Hazrat Shahjalal International Airport, Dhaka",SPD,Saidpur Airport,2025-06-03,2025-06-03,0.940572302,Direct,Airbus A320,Economy,Travel Agency,4589.057995,200,4789.057995,Hajj,79
Turkish Airlines,BZL,Barisal Airport,KUL,Kuala Lumpur International Airport,2025-03-27,2025-03-28,2.796643489,Direct,Boeing 737,Business,Direct Booking,24113.86471,9617.079706,33730.94441,Regular,80
Cathay Pacific,CGP,"Shah Amanat International Airport, Chittagong",CXB,Cox's Bazar Airport,2025-07-19,2025-07-19,0.5,Direct,Airbus A320,Business,Online Website,7551.551214,200,7751.551214,Regular,69
US-Bangla Airlines,CGP,"Shah Amanat International Airport, Chittagong",DOH,"Hamad International Airport, Doha",2025-06-17,2025-06-17,4.656370734,Direct,Boeing 737,Economy,Online Website,62196.59768,13329.48965,75526.08733,Regular,8
Emirates,CGP,"Shah Amanat International Airport, Chittagong",YYZ,Toronto Pearson International Airport,2025-06-27,2025-06-27,13.02354322,2 Stops,Airbus A350,Business,Direct Booking,92942.77117,19941.41568,112884.1868,Regular,80
Qatar Airways,BZL,Barisal Airport,RJH,"Shah Makhdum Airport, Rajshahi",2025-10-29,2025-10-29,0.854884183,Direct,Airbus A320,Business,Online Website,5871.029124,200,6071.029124,Regular,76
Cathay Pacific,SPD,Saidpur Airport,DOH,"Hamad International Airport, Doha",2025-11-14,2025-11-14,4.016039852,Direct,Boeing 737,Economy,Direct Booking,46764.21734,11014.6326,57778.84994,Regular,77
Emirates,SPD,Saidpur Airport,SIN,Singapore Changi Airport,2026-01-02,2026-01-03,3.63716464,Direct,Boeing 787,Business,Travel Agency,29432.07136,10414.8107,39846.88206,Winter Holidays,45
AirAsia,ZYL,"Osmani International Airport, Sylhet",CXB,Cox's Bazar Airport,2025-06-05,2025-06-05,1.339211907,Direct,Airbus A320,Economy,Travel Agency,6703.948943,200,6903.948943,Hajj,49
Cathay Pacific,BZL,Barisal Airport,KUL,Kuala Lumpur International Airport,2025-04-03,2025-04-03,2.758689914,Direct,Boeing 787,Economy,Travel Agency,12338.6009,7850.790135,20189.39103,Regular,53
Gulf Air,CXB,Cox's Bazar Airport,ZYL,"Osmani International Airport, Sylhet",2026-01-09,2026-01-09,1.279496034,Direct,Airbus A320,Business,Direct Booking,6998.084735,200,7198.084735,Winter Holidays,65
Thai Airways,DAC,"Hazrat Shahjalal International Airport, Dhaka",YYZ,Toronto Pearson International Airport,2025-06-28,2025-06-28,14.68765336,1 Stop,Boeing 777,Economy,Travel Agency,51746.0617,13761.90926,65507.97096,Regular,39
Etihad Airways,CGP,"Shah Amanat International Airport, Chittagong",JSR,Jessore Airport,2026-01-13,2026-01-13,0.907549296,Direct,Airbus A320,Business,Direct Booking,11352.08538,200,11552.08538,Winter Holidays,19
Air Arabia,JSR,Jessore Airport,CXB,Cox's Bazar Airport,2026-02-15,2026-02-15,1.099770502,Direct,Airbus A320,Business,Online Website,6586.683358,200,6786.683358,Winter Holidays,85
British Airways,ZYL,"Osmani International Airport, Sylhet",LHR,London Heathrow Airport,2025-07-29,2025-07-29,8.16202332,2 Stops,Airbus A350,Economy,Direct Booking,32598.76432,10889.81465,43488.57897,Regular,79
AirAsia,BZL,Barisal Airport,KUL,Kuala Lumpur International Airport,2025-02-14,2025-02-14,2.892287172,Direct,Boeing 737,Business,Travel Agency,129558.4663,25433.76995,154992.2363,Regular,43
Air Astra,ZYL,"Osmani International Airport, Sylhet",KUL,Kuala Lumpur International Airport,2025-04-10,2025-04-10,3.090872891,1 Stop,Boeing 737,First Class,Travel Agency,167839.3656,31175.90484,199015.2704,Regular,80
British Airways,CGP,"Shah Amanat International Airport, Chittagong",BZL,Barisal Airport,2025-07-09,2025-07-09,0.60887542,Direct,Airbus A320,Business,Direct Booking,5294.259621,200,5494.259621,Regular,63
AirAsia,JSR,Jessore Airport,DXB,Dubai International Airport,2025-05-18,2025-05-18,3.882017866,Direct,Boeing 787,First Class,Direct Booking,57280.45003,12592.0675,69872.51753,Regular,66
Saudia,DAC,"Hazrat Shahjalal International Airport, Dhaka",SIN,Singapore Changi Airport,2025-03-04,2025-03-04,3.013134006,Direct,Boeing 737,Economy,Online Website,65222.47096,15783.37064,81005.84161,Regular,17
Qatar Airways,ZYL,"Osmani International Airport, Sylhet",DOH,"Hamad International Airport, Doha",2025-08-16,2025-08-16,4.539336429,Direct,Boeing 787,First Class,Travel Agency,46797.32912,11019.59937,57816.92849,Regular,75
Air India,CGP,"Shah Amanat International Airport, Chittagong",JSR,Jessore Airport,2025-03-13,2025-03-13,1.032360895,Direct,Airbus A320,Economy,Travel Agency,2715.535542,200,2915.535542,Regular,6
SriLankan Airlines,ZYL,"Osmani International Airport, Sylhet",DOH,"Hamad International Airport, Doha",2025-06-25,2025-06-25,4.340187162,1 Stop,Boeing 787,Economy,Online Website,42122.99157,10318.44874,52441.44031,Regular,24
Air Arabia,BZL,Barisal Airport,IST,Istanbul Airport,2025-11-26,2025-11-26,7.141772282,1 Stop,Airbus A350,First Class,Direct Booking,71200.3573,14680.0536,85880.4109,Regular,86
Qatar Airways,RJH,"Shah Makhdum Airport, Rajshahi",ZYL,"Osmani International Airport, Sylhet",2025-09-16,2025-09-16,1.143575224,Direct,Airbus A320,First Class,Travel Agency,11745.37669,200,11945.37669,Regular,32
AirAsia,DAC,"Hazrat Shahjalal International Airport, Dhaka",YYZ,Toronto Pearson International Airport,2025-09-03,2025-09-03,13.02664205,1 Stop,Airbus A350,Business,Direct Booking,48090.51903,13213.57785,61304.09689,Regular,45
Cathay Pacific,BZL,Barisal Airport,BKK,"Suvarnabhumi Airport, Bangkok",2025-10-27,2025-10-27,2.253463127,Direct,Boeing 737,First Class,Direct Booking,60650.89713,15097.63457,75748.5317,Regular,71
SriLankan Airlines,JSR,Jessore Airport,CXB,Cox's Bazar Airport,2025-08-15,2025-08-15,1.112978679,Direct,Airbus A320,Business,Online Website,5590.147139,200,5790.147139,Regular,48
Kuwait Airways,CXB,Cox's Bazar Airport,SIN,Singapore Changi Airport,2025-03-20,2025-03-21,2.64588786,Direct,Boeing 737,First Class,Online Website,86867.07206,19030.06081,105897.1329,Regular,42
Emirates,DAC,"Hazrat Shahjalal International Airport, Dhaka",SPD,Saidpur Airport,2025-10-16,2025-10-16,0.887342457,Direct,Airbus A320,Business,Direct Booking,4679.854774,200,4879.854774,Regular,80
Malaysian Airlines,ZYL,"Osmani International Airport, Sylhet",CXB,Cox's Bazar Airport,2025-06-29,2025-06-29,1.303537771,Direct,Airbus A320,First Class,Travel Agency,10867.01153,200,11067.01153,Regular,72
Biman Bangladesh Airlines,RJH,"Shah Makhdum Airport, Rajshahi",IST,Istanbul Airport,2025-12-05,2025-12-06,6.101201795,1 Stop,Airbus A350,Business,Travel Agency,26665.40353,7999.81053,34665.21406,Winter Holidays,58
Qatar Airways,ZYL,"Osmani International Airport, Sylhet",BKK,"Suvarnabhumi Airport, Bangkok",2025-07-13,2025-07-13,2.83931253,Direct,Boeing 737,Business,Online Website,116128.2604,23419.23906,139547.4995,Regular,16
SriLankan Airlines,BZL,Barisal Airport,CGP,"Shah Amanat International Airport, Chittagong",2025-09-24,2025-09-24,0.603802829,Direct,Airbus A320,First Class,Travel Agency,8811.888906,200,9011.888906,Regular,83
Air India,JSR,Jessore Airport,JED,"King Abdulaziz International Airport, Jeddah",2025-11-29,2025-11-29,5.416998716,1 Stop,Airbus A350,Economy,Direct Booking,5071.430759,4760.714614,9832.145373,Regular,10
Turkish Airlines,JSR,Jessore Airport,YYZ,Toronto Pearson International Airport,2025-04-22,2025-04-23,15.19307726,1 Stop,Boeing 777,Economy,Online Website,19322.38323,8898.357484,28220.74071,Regular,81
Malaysian Airlines,SPD,Saidpur Airport,DOH,"Hamad International Airport, Doha",2026-01-16,2026-01-17,4.127651664,Direct,Boeing 787,First Class,Online Website,92208.14925,17831.22239,110039.3716,Winter Holidays,22
Qatar Airways,DAC,"Hazrat Shahjalal International Airport, Dhaka",KUL,Kuala Lumpur International Airport,2025-06-08,2025-06-08,3.125131998,1 Stop,Boeing 787,Business,Online Website,73381.77281,17007.26592,90389.03874,Hajj,42
Emirates,SPD,Saidpur Airport,CXB,Cox's Bazar Airport,2025-04-01,2025-04-01,0.984532391,Direct,Airbus A320,First Class,Travel Agency,13148.56607,200,13348.56607,Eid,46
SriLankan Airlines,JSR,Jessore Airport,DXB,Dubai International Airport,2025-04-11,2025-04-11,3.783667703,1 Stop,Boeing 737,First Class,Direct Booking,172232.1879,29834.82818,202067.0161,Regular,82
Vistara,RJH,"Shah Makhdum Airport, Rajshahi",LHR,London Heathrow Airport,2025-11-21,2025-11-21,9.301609637,1 Stop,Airbus A350,Business,Travel Agency,46724.32019,13008.64803,59732.96822,Regular,44
Air Arabia,JSR,Jessore Airport,YYZ,Toronto Pearson International Airport,2025-05-06,2025-05-07,12.55394435,2 Stops,Boeing 777,First Class,Online Website,201533.2676,36229.99014,237763.2577,Regular,30
Turkish Airlines,SPD,Saidpur Airport,DXB,Dubai International Airport,2025-03-07,2025-03-07,3.703334329,Direct,Boeing 787,Business,Direct Booking,140788.1205,25118.21807,165906.3385,Regular,19
NovoAir,DAC,"Hazrat Shahjalal International Airport, Dhaka",SIN,Singapore Changi Airport,2025-12-31,2025-12-31,2.925162082,Direct,Boeing 737,Economy,Travel Agency,76171.05318,17425.65798,112316.0534,Winter Holidays,4
US-Bangla Airlines,CXB,Cox's Bazar Airport,JFK,"John F. Kennedy International Airport, New York",2025-11-28,2025-11-28,14.03064074,1 Stop,Boeing 777,Business,Online Website,43933.92777,12590.08917,56524.01694,Regular,36
US-Bangla Airlines,ZYL,"Osmani International Airport, Sylhet",RJH,"Shah Makhdum Airport, Rajshahi",2025-11-27,2025-11-27,1.219510584,Direct,Airbus A320,First Class,Direct Booking,11345.26972,200,11545.26972,Regular,71
FlyDubai,RJH,"Shah Makhdum Airport, Rajshahi",DXB,Dubai International Airport,2025-06-09,2025-06-09,3.977236621,1 Stop,Boeing 787,First Class,Online Website,47001.36201,11050.2043,58051.56632,Regular,57
NovoAir,RJH,"Shah Makhdum Airport, Rajshahi",BZL,Barisal Airport,2025-11-24,2025-11-24,0.822170885,Direct,Airbus A320,Economy,Online Website,3921.014098,200,4121.014098,Regular,67
Lufthansa,ZYL,"Osmani International Airport, Sylhet",JED,"King Abdulaziz International Airport, Jeddah",2025-07-05,2025-07-05,5.949834732,1 Stop,Airbus A350,Business,Travel Agency,42058.03464,10308.7052,52366.73984,Regular,51
Air Arabia,RJH,"Shah Makhdum Airport, Rajshahi",DOH,"Hamad International Airport, Doha",2025-07-13,2025-07-13,4.084961169,1 Stop,Boeing 737,Business,Online Website,66329.79008,13949.46851,80279.25859,Regular,38
AirAsia,SPD,Saidpur Airport,SIN,Singapore Changi Airport,2025-05-19,2025-05-20,3.453475417,1 Stop,Boeing 787,First Class,Travel Agency,115037.3163,23255.59745,138292.9138,Regular,90
NovoAir,ZYL,"Osmani International Airport, Sylhet",SIN,Singapore Changi Airport,2025-12-21,2025-12-22,3.104152167,Direct,Boeing 737,Economy,Travel Agency,25783.72573,9867.558859,35651.28459,Winter Holidays,80
Qatar Airways,JSR,Jessore Airport,ZYL,"Osmani International Airport, Sylhet",2025-08-29,2025-08-29,1.04034273,Direct,Airbus A320,First Class,Online Website,9455.975016,200,9655.975016,Regular,51
FlyDubai,ZYL,"Osmani International Airport, Sylhet",RJH,"Shah Makhdum Airport, Rajshahi",2025-08-27,2025-08-27,1.193067661,Direct,Airbus A320,First Class,Travel Agency,12633.7111,200,12833.7111,Regular,44
Air India,CGP,"Shah Amanat International Airport, Chittagong",CXB,Cox's Bazar Airport,2025-03-24,2025-03-24,0.5,Direct,Airbus A320,First Class,Direct Booking,10479.93968,200,10679.93968,Regular,45
British Airways,RJH,"Shah Makhdum Airport, Rajshahi",BKK,"Suvarnabhumi Airport, Bangkok",2025-11-05,2025-11-05,2.715592431,1 Stop,Boeing 787,Business,Online Website,129734.8954,25460.23431,155195.1297,Regular,27
Biman Bangladesh Airlines,ZYL,"Osmani International Airport, Sylhet",IST,Istanbul Airport,2025-09-21,2025-09-21,7.310311817,2 Stops,Airbus A350,Economy,Direct Booking,54145.62574,12121.84386,66267.4696,Regular,61
Singapore Airlines,RJH,"Shah Makhdum Airport, Rajshahi",BZL,Barisal Airport,2025-08-21,2025-08-21,0.814159928,Direct,Airbus A320,Economy,Direct Booking,3097.376935,200,3297.376935,Regular,8
Thai Airways,ZYL,"Osmani International Airport, Sylhet",RJH,"Shah Makhdum Airport, Rajshahi",2026-01-01,2026-01-01,1.110826135,Direct,Airbus A320,First Class,Online Website,17273.48204,200,17473.48204,Winter Holidays,14
Air Astra,CGP,"Shah Amanat International Airport, Chittagong",BKK,"Suvarnabhumi Airport, Bangkok",2025-11-13,2025-11-13,2.061403865,Direct,Boeing 787,Economy,Direct Booking,29374.15111,10406.12267,39780.27378,Regular,62
Air Astra,CXB,Cox's Bazar Airport,BZL,Barisal Airport,2025-12-02,2025-12-02,0.785127162,Direct,Airbus A320,Business,Direct Booking,8603.19011,200,8803.19011,Winter Holidays,73
Etihad Airways,RJH,"Shah Makhdum Airport, Rajshahi",DXB,Dubai International Airport,2025-12-23,2025-12-23,3.367169251,Direct,Boeing 787,First Class,Online Website,117628.4915,21644.27372,139272.7652,Winter Holidays,29
Lufthansa,DAC,"Hazrat Shahjalal International Airport, Dhaka",CGP,"Shah Amanat International Airport, Chittagong",2025-10-14,2025-10-14,0.725735894,Direct,Airbus A320,First Class,Online Website,13425.84544,200,13625.84544,Regular,36
Turkish Airlines,RJH,"Shah Makhdum Airport, Rajshahi",KUL,Kuala Lumpur International Airport,2025-03-31,2025-04-01,3.108012724,Direct,Boeing 737,Business,Direct Booking,86576.4259,18986.46389,105562.8898,Eid,45
Etihad Airways,CXB,Cox's Bazar Airport,DXB,Dubai International Airport,2025-12-27,2025-12-28,4.177135022,Direct,Boeing 737,First Class,Travel Agency,98698.78544,18804.81782,117503.6033,Winter Holidays,58
FlyDubai,RJH,"Shah Makhdum Airport, Rajshahi",YYZ,Toronto Pearson International Airport,2025-08-17,2025-08-18,13.42598554,2 Stops,Boeing 777,First Class,Travel Agency,138155.4181,26723.31272,164878.7308,Regular,15
Vistara,BZL,Barisal Airport,LHR,London Heathrow Airport,2025-12-12,2025-12-12,9.366232141,1 Stop,Airbus A350,Business,Direct Booking,28249.73265,10237.4599,38487.19255,Winter Holidays,41
British Airways,BZL,Barisal Airport,SIN,Singapore Changi Airport,2026-01-15,2026-01-15,2.991714603,Direct,Boeing 787,Business,Direct Booking,96986.81564,20548.02235,117534.838,Winter Holidays,80
Etihad Airways,JSR,Jessore Airport,BKK,"Suvarnabhumi Airport, Bangkok",2025-02-01,2025-02-01,2.483914645,Direct,Boeing 737,Economy,Online Website,21972.87756,9295.931634,31268.80919,Regular,7
Turkish Airlines,ZYL,"Osmani International Airport, Sylhet",DXB,Dubai International Airport,2025-04-24,2025-04-24,4.197661351,1 Stop,Boeing 787,Business,Direct Booking,14742.78141,6211.417211,20954.19862,Regular,61
Turkish Airlines,CXB,Cox's Bazar Airport,DXB,Dubai International Airport,2025-06-06,2025-06-06,3.837095004,Direct,Boeing 737,Business,Online Website,185329.412,31799.4118,217128.8238,Hajj,17
IndiGo,JSR,Jessore Airport,LHR,London Heathrow Airport,2025-07-20,2025-07-21,8.72058694,1 Stop,Airbus A350,First Class,Online Website,88815.09413,19322.26412,108137.3582,Regular,32
Vistara,BZL,Barisal Airport,KUL,Kuala Lumpur International Airport,2025-09-24,2025-09-24,2.782089292,Direct,Boeing 787,First Class,Travel Agency,97997.02641,20699.55396,118696.5804,Regular,62
Emirates,BZL,Barisal Airport,CGP,"Shah Amanat International Airport, Chittagong",2025-04-16,2025-04-16,0.612116757,Direct,Airbus A320,Business,Online Website,8251.259386,200,8451.259386,Regular,8
Lufthansa,CGP,"Shah Amanat International Airport, Chittagong",JFK,"John F. Kennedy International Airport, New York",2025-09-13,2025-09-14,14.69893275,2 Stops,Boeing 777,Economy,Travel Agency,32097.82926,10814.67439,42912.50365,Regular,90
NovoAir,RJH,"Shah Makhdum Airport, Rajshahi",ZYL,"Osmani International Airport, Sylhet",2025-04-13,2025-04-13,1.186380285,Direct,Airbus A320,First Class,Online Website,13089.12084,200,13289.12084,Regular,21
Thai Airways,DAC,"Hazrat Shahjalal International Airport, Dhaka",YYZ,Toronto Pearson International Airport,2025-10-04,2025-10-05,13.71408153,1 Stop,Airbus A350,Business,Online Website,129217.7128,25382.65692,154600.3697,Regular,40
NovoAir,CGP,"Shah Amanat International Airport, Chittagong",CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-11-08,2025-11-08,1.096740366,Direct,Airbus A320,Business,Online Website,87063.64429,15059.54664,102123.1909,Regular,72
Turkish Airlines,ZYL,"Osmani International Airport, Sylhet",SIN,Singapore Changi Airport,2025-10-21,2025-10-21,2.969693066,1 Stop,Boeing 737,Economy,Direct Booking,58086.18588,14712.92788,72799.11377,Regular,5
British Airways,DAC,"Hazrat Shahjalal International Airport, Dhaka",RJH,"Shah Makhdum Airport, Rajshahi",2025-05-05,2025-05-05,0.61719006,Direct,Airbus A320,First Class,Direct Booking,9392.32995,200,9592.32995,Regular,84
Biman Bangladesh Airlines,CGP,"Shah Amanat International Airport, Chittagong",JFK,"John F. Kennedy International Airport, New York",2025-08-19,2025-08-19,14.90382603,1 Stop,Boeing 777,Economy,Travel Agency,34790.80648,11218.62097,46009.42745,Regular,49
Malaysian Airlines,SPD,Saidpur Airport,CGP,"Shah Amanat International Airport, Chittagong",2025-05-04,2025-05-04,1.553563617,Direct,Airbus A320,Business,Travel Agency,6868.541808,200,7068.541808,Regular,54
Air Astra,CGP,"Shah Amanat International Airport, Chittagong",DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-04-24,2025-04-24,0.779539892,Direct,Airbus A320,First Class,Travel Agency,10383.65536,200,10583.65536,Regular,32
NovoAir,DAC,"Hazrat Shahjalal International Airport, Dhaka",DXB,Dubai International Airport,2025-03-26,2025-03-26,3.984042118,Direct,Boeing 737,Economy,Travel Agency,69283.74507,14392.56176,83676.30683,Regular,22
Lufthansa,CGP,"Shah Amanat International Airport, Chittagong",BKK,"Suvarnabhumi Airport, Bangkok",2025-05-21,2025-05-21,2.224126046,Direct,Boeing 787,First Class,Travel Agency,192653.4574,34898.01862,227551.4761,Regular,24
IndiGo,SPD,Saidpur Airport,DXB,Dubai International Airport,2025-11-24,2025-11-24,3.739707473,1 Stop,Boeing 787,Economy,Travel Agency,29763.60057,8464.540086,38228.14066,Regular,86
US-Bangla Airlines,JSR,Jessore Airport,BKK,"Suvarnabhumi Airport, Bangkok",2026-01-05,2026-01-05,2.822541448,1 Stop,Boeing 787,Economy,Online Website,20240.77649,9036.116474,29276.89297,Winter Holidays,6
SriLankan Airlines,JSR,Jessore Airport,CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-03-16,2025-03-16,0.5,Direct,Airbus A320,Business,Travel Agency,67941.50749,12191.22612,80132.73361,Regular,48
US-Bangla Airlines,JSR,Jessore Airport,ZYL,"Osmani International Airport, Sylhet",2025-06-07,2025-06-08,1.105720075,Direct,Airbus A320,First Class,Online Website,14788.94675,200,14988.94675,Hajj,68
Cathay Pacific,DAC,"Hazrat Shahjalal International Airport, Dhaka",LHR,London Heathrow Airport,2026-01-20,2026-01-21,8.47129877,1 Stop,Airbus A350,Economy,Travel Agency,9802.479814,7470.371972,17272.85179,Winter Holidays,55
SriLankan Airlines,DAC,"Hazrat Shahjalal International Airport, Dhaka",LHR,London Heathrow Airport,2025-04-03,2025-04-03,9.067974125,1 Stop,Boeing 777,Economy,Online Website,15672.38189,8350.857284,24023.23918,Regular,15
AirAsia,CGP,"Shah Amanat International Airport, Chittagong",JSR,Jessore Airport,2025-04-05,2025-04-05,0.94883881,Direct,Airbus A320,First Class,Direct Booking,8802.226887,200,9002.226887,Regular,73
Air Arabia,DAC,"Hazrat Shahjalal International Airport, Dhaka",DOH,"Hamad International Airport, Doha",2025-05-23,2025-05-23,4.477189164,Direct,Boeing 737,Business,Direct Booking,105525.6432,19828.84648,125354.4897,Regular,40
Malaysian Airlines,DAC,"Hazrat Shahjalal International Airport, Dhaka",JED,"King Abdulaziz International Airport, Jeddah",2025-12-21,2025-12-22,6.206633781,1 Stop,Boeing 777,Business,Travel Agency,139146.3754,24871.9563,164018.3317,Winter Holidays,51
Thai Airways,SPD,Saidpur Airport,IST,Istanbul Airport,2025-03-21,2025-03-21,5.870982526,2 Stops,Boeing 777,Business,Direct Booking,21072.88704,7160.933056,28233.8201,Regular,44
US-Bangla Airlines,ZYL,"Osmani International Airport, Sylhet",DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-11-05,2025-11-05,0.70261649,Direct,Airbus A320,Economy,Direct Booking,1968.148014,200,2168.148014,Regular,36
Air Arabia,CXB,Cox's Bazar Airport,CGP,"Shah Amanat International Airport, Chittagong",2025-07-24,2025-07-24,0.5,Direct,Airbus A320,Business,Direct Booking,5136.740842,200,5336.740842,Regular,32
US-Bangla Airlines,JSR,Jessore Airport,CXB,Cox's Bazar Airport,2025-04-27,2025-04-27,1.173992765,Direct,Airbus A320,Business,Travel Agency,6619.372956,200,6819.372956,Regular,45
Thai Airways,BZL,Barisal Airport,CXB,Cox's Bazar Airport,2026-01-13,2026-01-13,0.784329565,Direct,Airbus A320,Economy,Direct Booking,2852.252412,200,3052.252412,Winter Holidays,35
Air Arabia,RJH,"Shah Makhdum Airport, Rajshahi",CGP,"Shah Amanat International Airport, Chittagong",2026-01-01,2026-01-01,1.24738461,Direct,Airbus A320,Business,Travel Agency,8009.792771,200,8209.792771,Winter Holidays,28
Qatar Airways,DAC,"Hazrat Shahjalal International Airport, Dhaka",LHR,London Heathrow Airport,2025-12-31,2025-12-31,9.4438538,1 Stop,Boeing 777,Economy,Direct Booking,33812.69843,11071.90476,44884.60319,Winter Holidays,65
Qatar Airways,JSR,Jessore Airport,BZL,Barisal Airport,2025-10-31,2025-10-31,0.5,Direct,Airbus A320,Business,Direct Booking,8285.956578,200,8485.956578,Regular,9
Kuwait Airways,BZL,Barisal Airport,CGP,"Shah Amanat International Airport, Chittagong",2025-08-22,2025-08-22,0.509302118,Direct,Airbus A320,Business,Travel Agency,7901.994551,200,8101.994551,Regular,13
Singapore Airlines,ZYL,"Osmani International Airport, Sylhet",YYZ,Toronto Pearson International Airport,2025-08-08,2025-08-08,13.74510218,1 Stop,Boeing 777,Economy,Direct Booking,31589.41291,10738.41194,50793.38982,Regular,1
Kuwait Airways,BZL,Barisal Airport,DEL,"Indira Gandhi International Airport, Delhi",2025-09-07,2025-09-07,2.421823493,Direct,Boeing 737,Economy,Direct Booking,21007.81086,5151.171629,31390.77898,Regular,3
SriLankan Airlines,CGP,"Shah Amanat International Airport, Chittagong",ZYL,"Osmani International Airport, Sylhet",2025-04-15,2025-04-15,0.950420825,Direct,Airbus A320,Business,Travel Agency,7151.356575,200,7351.356575,Regular,35
Saudia,CXB,Cox's Bazar Airport,JFK,"John F. Kennedy International Airport, New York",2025-08-01,2025-08-01,14.32058355,1 Stop,Boeing 777,First Class,Direct Booking,50499.28405,13574.89261,64074.17666,Regular,88
IndiGo,DAC,"Hazrat Shahjalal International Airport, Dhaka",JSR,Jessore Airport,2026-01-14,2026-01-14,0.5,Direct,Airbus A320,Business,Direct Booking,10993.3187,200,11193.3187,Winter Holidays,22
